pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_masse,pl_massj,pl_radj,pl_radj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc
HAT-P-5,b,Transit,2.788491,0.04075,0,336.974,1.06,1.252,1.252,0.67,86.75,342,,5960,1.16,1.14,,,,14.034,2007
HAT-P-6,b,Transit,3.853003,0.05237,0,336.6561,1.059,1.33,1.33,0.559,85.51,261,,6570,1.29,1.46,,,,14.91,2007
HAT-P-7,b,Transit,2.2047304,0.032,0.039,564.5904,1.776,1.363,1.363,0.876,80.8,320,,6350,1.47,1.84,,,,15.278,2008
HAT-P-8,b,Transit,3.0763402,0.0487,0,483.208,1.52,1.5,1.5,0.568,87.5,230,,6200,1.28,1.58,,,,16.8,2008
HAT-P-9,b,Transit,3.92289,0.053,0,247.962,0.78,1.4,1.4,0.35,86.5,480,,6350,1.28,1.32,,,,15.7,2008
HATS-1,b,Transit,3.446459,0.0444,0.12,589.7045,1.855,1.302,1.302,1.03,85.6,303,,5870,0.99,1.04,,,,14.594,2012
HD 100655,b,Radial Velocity,157.57,0.76,0.085,0,,,,,,140.85,6.438,,,,HD 100655,HIP 56508,1.031,,2011
HD 100777,b,Radial Velocity,383.7,1.03,0.36,0,,,,,,52.8,8.418,,,,HD 100777,HIP 56572,0.778,,2007
HD 10180,c,Radial Velocity,5.75979,0.0641,0.045,0,,,,,,39.39,7.321,,,,HD 10180,HIP 7599,0.627,,2010
HD 10180,d,Radial Velocity,16.3579,0.1286,0.088,0,,,,,,39.39,7.321,,,,HD 10180,HIP 7599,0.627,,2010
HD 10180,e,Radial Velocity,49.745,0.2699,0.026,0,,,,,,39.39,7.321,,,,HD 10180,HIP 7599,0.627,,2010
HD 10180,f,Radial Velocity,122.76,0.4929,0.135,0,,,,,,39.39,7.321,,,,HD 10180,HIP 7599,0.627,,2010
HD 10180,g,Radial Velocity,601.2,1.422,0.19,0,,,,,,39.39,7.321,,,,HD 10180,HIP 7599,0.627,,2010
HD 10180,h,Radial Velocity,2222,3.4,0.08,0,,,,,,39.39,7.321,,,,HD 10180,HIP 7599,0.627,,2010
HD 101930,b,Radial Velocity,70.46,0.302,0.11,0,,,,,,30.5,8.216,,,,HD 101930,HIP 57172,0.928,,2005
HD 102117,b,Radial Velocity,20.8079,0.1532,0.106,0,,,,,,42,7.448,,,,HD 102117,HIP 57291,0.75,,2004
HD 102195,b,Radial Velocity,4.113775,,0,0,,,,,,28.98,8.062,,,,HD 102195,HIP 57370,0.835,,2005
HD 102272,b,Radial Velocity,127.58,0.614,0.05,0,,,,,,164.2,8.711,,,,HD 102272,HIP 57428,0.982,,2008
HD 102272,c,Radial Velocity,520,1.57,0.68,0,,,,,,164.2,8.711,,,,HD 102272,HIP 57428,0.982,,2008
HD 102329,b,Radial Velocity,778.1,2.01,0.211,0,,,,,,138.5,7.886,,,,HD 102329,HIP 57467,1.044,,2011
HD 102365,b,Radial Velocity,122.1,0.46,0.34,0,,,,,,9.24,4.91,,,,HD 102365,HIP 57443,0.66,,2010
