pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc,pl_pelink
WASP-15,b,Transit,3.7520656,0.0499,0,0.542,0.247,85.5,,,6300,1.18,1.48,,,,16.01,2008,http://exoplanet.eu/catalog/wasp-15_b/
Kepler-32,b,Transit,5.90124,0.05,,4.1,,,,,3911,,0.54,,,,2.2,2012,http://exoplanet.eu/catalog/kepler-32_b/
Kepler-5,b,Transit,3.54846,0.05064,0.024,2.114,0.894,86.3,,,6297,,2.02,,,,16.04,2010,http://exoplanet.eu/catalog/kepler-5_b/
HAT-P-39,b,Transit,3.54387,0.0509,0,0.599,0.19,87,642,,6430,1.4,1.62,,,,17.609,2012,http://exoplanet.eu/catalog/hat-p-39b/
TrES-4,b,Transit,3.553945,0.05091,0,0.919,0.209,82.86,492,11.592,6200,1.4,1.85,,,0.52,20.165,2007,http://exoplanet.eu/catalog/tres-4_/
CoRoT-13,b,Transit,4.03519,0.051,0,1.308,2.34,88.02,1060,,5945,1.09,1.01,,,,9.92,2010,http://exoplanet.eu/catalog/corot-13_b/
OGLE-TR-182,b,Transit,3.9791,0.051,0,1.01,,85.7,,,5924,1.14,1.14,,,,12.666,2007,http://exoplanet.eu/catalog/ogle-tr-182_b/
OGLE-TR-211,b,Transit,3.67724,0.051,0,1.03,,87.2,,,6325,1.33,1.64,,,,15.244,2007,http://exoplanet.eu/catalog/ogle-tr-211_b/
WASP-17,b,Transit,3.7354417,0.051,0.129,0.49,0.122,87.8,400,,6550,1.2,1.38,,,,19.5,2009,http://exoplanet.eu/catalog/wasp-17_b/
WASP-61,b,Transit,3.8559,0.0514,0.26,2.06,1.423,89.35,480,,6320,1.22,1.36,,,,13.899,2012,http://exoplanet.eu/catalog/wasp-61_b/
WASP-67,b,Transit,4.61442,0.0517,0.2,0.42,0.213,85.8,225,,5240,0.87,0.87,,,,15.693,2012,http://exoplanet.eu/catalog/wasp-67_b/
CoRoT-19,b,Transit,3.89713,0.0518,0.047,1.11,0.71,88,770,,6090,1.21,1.65,,,,14.46,2011,http://exoplanet.eu/catalog/corot-19_b/
WASP-21,b,Transit,4.322482,0.052,0,0.3,0.319,88.75,242,,5800,1.01,1.06,,,,11.994,2010,http://exoplanet.eu/catalog/wasp-21_b/
WASP-47,b,Transit,4.1591399,0.052,0.11,1.14,0.984,89.2,200,,5350,1.08,1.15,,,,12.89,2012,http://exoplanet.eu/catalog/wasp-47_b/
HAT-P-38,b,Transit,4.640382,0.0523,0.067,0.267,0.59,88.3,249,,5330,0.89,0.92,,,,9.247,2012,http://exoplanet.eu/catalog/hat-p-38_b/
HAT-P-6,b,Transit,3.853003,0.05237,0,1.059,0.559,85.51,261,,6570,1.29,1.46,,,,14.91,2007,http://exoplanet.eu/catalog/hat-p-6_b/
WASP-34,b,Transit,4.3176782,0.0524,0.038,0.59,0.452,85.2,120,,5700,1.01,0.93,,,,13.675,2010,http://exoplanet.eu/catalog/wasp-34_b/
HAT-P-11,b,Transit,4.8878162,0.053,0.198,0.081,1.33,88.5,38,9.472,4780,0.81,0.75,,HIP 97657,1.186,4.73,2009,http://exoplanet.eu/catalog/hat-p-11_b/
HAT-P-9,b,Transit,3.92289,0.053,0,0.78,0.35,86.5,480,,6350,1.28,1.32,,,,15.7,2008,http://exoplanet.eu/catalog/hat-p-9_b/
WASP-55,b,Transit,4.465633,0.0533,0.2,0.57,0.346,89.2,330,,5960,1.01,1.06,,,,14.572,2012,http://exoplanet.eu/catalog/wasp-55_b/
WASP-79,b,Transit,3.6623866,0.0535,0,0.9,2.7797,83.3,240,,6600,1.38,1.53,,,,23.427,2012,http://exoplanet.eu/catalog/wasp-79_b/
WASP-13,b,Transit,4.353011,0.05362,0,0.477,0.222,85.19,155,,5826,1.09,1.56,,,,15.569,2008,http://exoplanet.eu/catalog/wasp-13_b/
WASP-66,b,Transit,4.086052,0.0546,0.11,2.32,1.144,85.9,380,,6580,1.3,1.75,,,,15.581,2012,http://exoplanet.eu/catalog/wasp-66_b/
WASP-42,b,Transit,4.9816872,0.0548,0.06,0.5,0.528,88.25,160,,5200,0.88,0.86,,,,12.106,2012,http://exoplanet.eu/catalog/wasp-42_b/
KELT-2A,b,Transit,4.1137912,0.05496,0,1.522,,88.6,128.5,8.713,6151,1.31,1.83,HD 42176,HIP 29301,0.516,14.415,2012,http://exoplanet.eu/catalog/kelt-2a_b/
HAT-P-31,b,Transit,5.005425,0.055,0.245,2.171,2.18,87.1,354,,6065,1.22,1.36,,,,11.994,2011,http://exoplanet.eu/catalog/hat-p-31_b/
SWEEPS-4,b,Transit,4.2,0.055,,3.8,,,8500,,,1.24,1.18,,,,9.079,2006,http://exoplanet.eu/catalog/sweeps-04_/
HAT-P-1,b,Transit,4.4652934,0.05531,0,0.524,0.345,86.28,155,10.34,5975,1.13,1.11,,,0.56,13.73,2006,http://exoplanet.eu/catalog/hat-p-1_b/
XO-4,b,Transit,4.12502,0.0555,0,1.72,,88.7,293,,6397,1.32,1.56,,,,15.02,2008,http://exoplanet.eu/catalog/xo-4_b/
Kepler-12,b,Transit,4.4379637,0.0556,0.01,0.431,0.111,88.76,,,6011,,1.38,,,,18.999,2011,http://exoplanet.eu/catalog/kepler-12_b/
HAT-P-18,b,Transit,5.508023,0.0559,0.084,0.197,0.25,88.8,166,,4803,0.77,0.75,,,,11.153,2010,http://exoplanet.eu/catalog/hat-p-18_b/
WASP-62,b,Transit,4.411953,0.0567,0.21,0.57,0.279,88.3,160,,6280,1.25,1.28,,,,15.581,2012,http://exoplanet.eu/catalog/wasp-62_b/
CoRoT-3,b,Transit,4.2568,0.057,0,21.66,26.4,85.9,680,,6740,1.37,1.56,,,,11.321,2008,http://exoplanet.eu/catalog/corot-3_b/
Kepler-15,b,Transit,4.942782,0.05714,0.06,0.66,0.93,87.44,,,5786,,1.09,,,,10.76,2011,http://exoplanet.eu/catalog/kepler-15_b/
WASP-63,b,Transit,4.37809,0.0574,0.22,0.38,0.173,87.8,330,,5570,1.32,1.88,,,,16.029,2012,http://exoplanet.eu/catalog/wasp-63_b/
HAT-P-14,b,Transit,4.627669,0.0606,0.107,2.232,1.82,83.5,205,,6600,1.39,1.47,,,,12.89,2010,http://exoplanet.eu/catalog/hat-p-14_b/
HAT-P-40,b,Transit,4.457243,0.0608,0,0.615,0.15,88.3,501,,6080,1.51,2.21,,,,19.392,2012,http://exoplanet.eu/catalog/hat-p-40b/
CoRoT-16,b,Transit,5.35227,0.0618,0.33,0.535,0.44,85.01,840,,5650,1.1,1.19,,,,13.114,2012,http://exoplanet.eu/catalog/corot-16_b/
WASP-7,b,Transit,4.954658,0.0618,0,0.96,0.545,89.6,140,,6400,1.28,1.43,HD 197286,,,14.908,2008,http://exoplanet.eu/catalog/wasp-7_b/
Kepler-28,b,Transit,5.9123,0.062,,1.51,,,,,4590,,0.74,,,,3.6,2012,http://exoplanet.eu/catalog/kepler-28_b/
Kepler-7,b,Transit,4.885525,0.06224,0,0.433,0.166,86.5,,,5934,,1.78,,,,16.567,2010,http://exoplanet.eu/catalog/kepler-7_b/
